pais_nombre;pais_area_total_km2;pais_pob_total;L1_tipo;L1_nombre;L1_area_km2;L1_pct_area_pais;L1_rank_area_pais;L1_rank_area_superior;L1_pob;L1_pct_pob_pais;L1_rank_pob_pais;L1_rank_pob_superior;L1_num_subdivisiones_hijas;L1_capitales_nombres;L1_capitales_pob;L1_capitales_pct_pob_sub;L1_ciudad_mas_poblada_nombre;L1_ciudad_mas_poblada_pob;L1_ciudad_mas_poblada_pct_pob_sub;L1_escanhos;L2_tipo;L2_nombre;L2_area_km2;L2_pct_area_pais;L2_pct_area_superior;L2_rank_area_pais;L2_rank_area_superior;L2_pob;L2_pct_pob_pais;L2_pct_pob_superior;L2_rank_pob_pais;L2_rank_pob_superior;L2_num_subdivisiones_hijas;L2_capitales_nombres;L2_capitales_pob;L2_capitales_pct_pob_sub;L2_ciudad_mas_poblada_nombre;L2_ciudad_mas_poblada_pob;L2_ciudad_mas_poblada_pct_pob_sub;L2_escanhos
;;;;;;;;;;;;;;;;;;;;;Reino;Jaén;12409.62;1.66;3.17;20;12;622370;0.63;1.88;41;16;93;Jaén;112119;18.01;Jaén;112119;18.01;
;;;;;;;;;;;;;;;;;;;;;Reino;León;25729.40;3.43;6.56;10;6;1453509;1.46;4.40;21;8;299;León;124091;8.54;Gijón;271259;18.66;
;;;;;;;;;;;;;;;;;;;;;Provincia;Madrid;3489.19;0.47;0.89;45;19;5412501;5.45;16.39;3;1;71;Madrid;3477497;64.25;Madrid;3477497;64.25;
;;;;;;;;;;;;;;;;;;;;;Presidio;Melilla;13.41;0.00;0.00;64;24;87067;0.09;0.26;61;24;;Melilla;87067;100.00;Melilla;87067;100.00;
;;;;;;;;;;;;;;;;;;;;;Reino;Murcia;19797.79;2.64;5.05;16;9;1911218;1.92;5.79;16;7;85;Murcia;477631;24.99;Murcia;477631;24.99;
;;;;;;;;;;;;;;;;;;;;;Presidio;Orán;78.00;0.01;0.02;60;23;626910;0.63;1.90;40;15;2;Oran;609940;97.29;Oran;609940;97.29;
;;;;;;;;;;;;;;;;;;;;;Provincia;Salamanca;54135.96;7.22;13.81;1;1;1371487;1.38;4.15;22;9;779;Salamanca;145583;10.61;Badajoz;150870;11.00;
;;;;;;;;;;;;;;;;;;;;;Provincia;Segovia;9590.58;1.28;2.45;25;15;403031;0.41;1.22;50;18;258;Segovia;52189;12.95;Segovia;52189;12.95;
;;;;;;;;;;;;;;;;;;;;;Reino;Sevilla;34068.07;4.54;8.69;6;4;3904763;3.93;11.82;7;2;245;Sevilla;688714;17.64;Sevilla;688714;17.64;
;;;;;;;;;;;;;;;;;;;;;Provincia;Soria;13479.27;1.80;3.44;17;10;166901;0.17;0.51;59;23;256;Soria;40941;24.53;Soria;40941;24.53;
;;;;;;;;;;;;;;;;;;;;;Reino;Toledo;47235.98;6.30;12.05;3;2;2456930;2.47;7.44;13;5;450;Toledo;87074;3.54;Móstoles;214293;8.72;
;;;;;;;;;;;;;;;;;;;;;Provincia;Toro;10059.54;1.34;2.57;24;14;191241;0.19;0.58;57;21;230;Toro;8349;4.37;Palencia;77369;40.46;
;;;;;;;;;;;;;;;;;;;;;Provincia;Valladolid;11901.51;1.59;3.04;22;13;580078;0.58;1.76;43;17;290;Valladolid;301798;52.03;Valladolid;301798;52.03;
;;;;;;;;;;;;;;;;;;;;;Señorío;Vizcaya;2217.00;0.30;0.57;52;21;1167233;1.18;3.53;27;11;113;Bilbao;350975;30.07;Bilbao;350975;30.07;
;;;;;;;;;;;;;;;;;;;;;Provincia;Zamora;34567.34;4.61;8.82;5;3;2810345;2.83;8.51;12;4;434;Zamora;59857;2.13;Vigo;295735;10.52;
;;;Principado;Cataluña;35805.39;4.78;5;5;8602860;8.66;5;5;1;Barcelona;1713247;19.91;Barcelona;1713247;19.91;13;Principado;Cataluña;35805.39;4.78;100.00;4;1;8602860;8.66;100.00;1;1;1150;Barcelona;1713247;19.91;Barcelona;1713247;19.91;
;;;Reino;Cerdeña;24099.45;3.21;8;8;1561339;1.57;8;8;1;Cagliari;146627;9.39;Cagliari;146627;9.39;3;Reino;Cerdeña;24099.45;3.21;100.00;12;1;1561339;1.57;100.00;20;1;377;Cagliari;146627;9.39;Cagliari;146627;9.39;
;;;Reino;Mallorca;4992.00;0.67;10;10;1249844;1.26;10;10;1;Palma;443196;35.46;Palma;443196;35.46;3;Reino;Mallorca;4992.00;0.67;100.00;40;1;1249844;1.26;100.00;25;1;67;Palma;443196;35.46;Palma;443196;35.46;
;;;Reino;Nápoles;77743.30;10.37;3;3;14133613;14.23;3;3;12;Napoli;908082;6.42;Napoli;908082;6.42;21;Magistrado;Abruzos Citra;3169.56;0.42;4.08;48;12;553913;0.56;3.92;44;9;126;Chieti;48434;8.74;Pescara;118419;21.38;
;;;;;;;;;;;;;;;;;;;;;Magistrado;Abruzos Ultra;8092.02;1.08;10.41;29;4;1065676;1.07;7.54;30;6;186;L'Aquila;70421;6.61;Pescara;118419;11.11;
;;;;;;;;;;;;;;;;;;;;;Magistrado;Basilicata;10073.11;1.34;12.96;23;1;529897;0.53;3.75;45;10;131;Lauria;11708;2.21;Potenza;63839;12.05;
;;;;;;;;;;;;;;;;;;;;;Magistrado;Calabria Citra;6709.62;0.90;8.63;35;7;669239;0.67;4.74;36;7;150;Cosenza;63241;9.45;Corigliano-Rossano;74002;11.06;
;;;;;;;;;;;;;;;;;;;;;Magistrado;Capitania;7343.35;0.98;9.45;33;5;633980;0.64;4.49;39;8;67;Foggia;145447;22.94;Foggia;145447;22.94;
;;;;;;;;;;;;;;;;;;;;;Magistrado;Calabria Ultra;8511.99;1.14;10.95;26;2;1162908;1.17;8.23;28;4;254;Reggio di Calabria;168572;14.50;Reggio di Calabria;168572;14.50;
;;;;;;;;;;;;;;;;;;;;;Condado;Molise;4307.83;0.57;5.54;42;10;273105;0.27;1.93;55;12;129;Bojano;7553;2.77;Campobasso;47519;17.40;
;;;;;;;;;;;;;;;;;;;;;Magistrado;Principado Citra;5228.03;0.70;6.72;37;9;1151255;1.16;8.15;29;5;171;Salerno;125958;10.94;Salerno;125958;10.94;
;;;;;;;;;;;;;;;;;;;;;Magistrado;Principado Ultra;3769.87;0.50;4.85;44;11;466993;0.47;3.30;49;11;153;Montefusco;1187;0.25;Avellino;51910;11.12;
;;;;;;;;;;;;;;;;;;;;;Magistrado;Tierra de Bari;5365.92;0.72;6.90;36;8;1605992;1.62;11.36;19;3;50;Bari;315473;19.64;Bari;315473;19.64;
;;;;;;;;;;;;;;;;;;;;;Magistrado;Tierra de Trabajo;8230.42;1.10;10.59;28;3;4381393;4.41;31.00;6;1;323;Capua;17914;0.41;Napoli;908082;20.73;
;;;;;;;;;;;;;;;;;;;;;Magistrado;Tierra de Otranto;6941.58;0.93;8.93;34;6;1639262;1.65;11.60;18;2;143;Lecce;94253;5.75;Taranto;185909;11.34;
;;;Círculo;Países Bajos;29658.42;3.96;6;6;13556789;13.65;4;4;10;;;;;;;20;Condado;Artois;4414.29;0.59;14.88;41;2;1063717;1.07;7.85;31;3;634;Arras;42621;4.01;Arras;42621;4.01;
;;;;;;;;;;;;;;;;;;;;;Condado;Cambrai;730.66;0.10;2.46;56;10;143225;0.14;1.06;60;10;97;Cambrai;31568;22.04;Cambrai;31568;22.04;
;;;;;;;;;;;;;;;;;;;;;Condado;Drente;2632.67;0.35;8.88;50;6;506529;0.51;3.74;46;8;12;Assen;70392;13.90;Emmen;109678;21.65;
;;;;;;;;;;;;;;;;;;;;;Condado;Flandes;3450.13;0.46;11.63;46;4;1934594;1.95;14.27;15;2;279;Lille;238695;12.34;Lille;238695;12.34;
;;;;;;;;;;;;;;;;;;;;;Señorío;Frisia;3211.05;0.43;10.83;47;5;658082;0.66;4.85;37;5;16;Leeuwarden;129973;19.75;Leeuwarden;129973;19.75;
;;;;;;;;;;;;;;;;;;;;;Señorío;Groninga;2315.86;0.31;7.81;51;7;602833;0.61;4.45;42;7;10;Groningen;244441;40.55;Groningen;244441;40.55;
;;;;;;;;;;;;;;;;;;;;;Condado;Henao;2164.72;0.29;7.30;53;8;635068;0.64;4.68;38;6;255;Valenciennes;42979;6.77;Valenciennes;42979;6.77;
;;;;;;;;;;;;;;;;;;;;;Condado;Holanda;5227.82;0.70;17.63;38;1;6809368;6.86;50.23;2;1;95;'s-Gravenhage;568945;8.36;Amsterdam;934526;13.72;
;;;;;;;;;;;;;;;;;;;;;Condado;Luxemburgo;4199.12;0.56;14.16;43;3;864344;0.87;6.38;32;4;300;Luxembourg;471412;54.54;Thionville;42778;4.95;
;;;;;;;;;;;;;;;;;;;;;Condado;Zelanda;1312.10;0.18;4.42;55;9;339029;0.34;2.50;53;9;11;Middelburg (Z.);50152;14.79;Goeree-Overflakkee;52185;15.39;
;;;Reino;Portugal;90098.71;12.02;2;2;15126462;15.23;2;2;12;Lisboa;575739;3.81;Lisboa;575739;3.81;22;Presidio;Alcazarseguir;86.98;0.01;0.10;59;9;17125;0.02;0.11;64;12;1;Ksar Sghir;17125;100.00;Ksar Sghir;17125;100.00;
;;;;;;;;;;;;;;;;;;;;;Provincia;Alentejo;26950.25;3.60;29.91;7;1;472198;0.48;3.12;48;7;48;Beja;33954;7.19;Évora;53908;11.42;
;;;;;;;;;;;;;;;;;;;;;Reino;Algarbe;4996.10;0.67;5.55;39;6;492747;0.50;3.26;47;6;16;Faro;70347;14.28;Loulé;75764;15.38;
;;;;;;;;;;;;;;;;;;;;;Presidio;Arcila;32.83;0.00;0.04;61;10;36039;0.04;0.24;63;11;1;Assilah;36039;100.00;Assilah;36039;100.00;
;;;;;;;;;;;;;;;;;;;;;Provincia;Beira;24639.40;3.29;27.35;11;2;1843927;1.86;12.19;17;4;84;Coimbra;146899;7.97;Coimbra;146899;7.97;
;;;;;;;;;;;;;;;;;;;;;Presidio;Casablanca;218.80;0.03;0.24;57;7;3215935;3.24;21.26;10;2;1;Casablanca;3215935;100.00;Casablanca;3215935;100.00;
;;;;;;;;;;;;;;;;;;;;;Presidio;Ceuta;19.48;0.00;0.02;63;12;83567;0.08;0.55;62;10;;Ceuta;83567;100.00;Ceuta;83567;100.00;
;;;;;;;;;;;;;;;;;;;;;Provincia;Detrás de los Montes y Alto Duero;11987.00;1.60;13.30;21;4;354896;0.36;2.35;51;8;31;Vila Real;50043;14.10;Vila Real;50043;14.10;
;;;;;;;;;;;;;;;;;;;;;Provincia;Entre Duero y Miño;8299.40;1.11;9.21;27;5;3198883;3.22;21.15;11;3;48;Braga;203519;6.36;Vila Nova de Gaia;312984;9.78;
;;;;;;;;;;;;;;;;;;;;;Provincia;Extremadura;12674.50;1.69;14.07;19;3;3898253;3.93;25.77;8;1;53;Lisboa;575739;14.77;Lisboa;575739;14.77;
;;;;;;;;;;;;;;;;;;;;;Presidio;Mazagán;29.47;0.00;0.03;62;11;237464;0.24;1.57;56;9;1;El Jadida;237464;100.00;El Jadida;237464;100.00;
;;;;;;;;;;;;;;;;;;;;;Presidio;Tanger;164.50;0.02;0.18;58;8;1275428;1.28;8.43;24;5;1;Tanger;1275428;100.00;Tanger;1275428;100.00;
;;;Reino;Sicilia;26147.70;3.49;7;7;5342814;5.38;7;7;1;Palermo;625956;11.72;Palermo;625956;11.72;8;Reino;Sicilia;26147.70;3.49;100.00;9;1;5342814;5.38;100.00;5;1;459;Palermo;625956;11.72;Palermo;625956;11.72;
;;;Reino;Valencia;21418.89;2.86;9;9;5353541;5.39;6;6;1;València;841558;15.72;València;841558;15.72;9;Reino;Valencia;21418.89;2.86;100.00;15;1;5353541;5.39;100.00;4;1;534;València;841558;15.72;València;841558;15.72;
