pais_nombre;pais_area_total_km2;pais_pob_total;L1_tipo;L1_nombre;L1_area_km2;L1_pct_area_pais;L1_rank_area_pais;L1_rank_area_superior;L1_pob;L1_pct_pob_pais;L1_rank_pob_pais;L1_rank_pob_superior;L1_num_subdivisiones_hijas;L1_capitales_nombres;L1_capitales_pob;L1_capitales_pct_pob_sub;L1_ciudad_mas_poblada_nombre;L1_ciudad_mas_poblada_pob;L1_ciudad_mas_poblada_pct_pob_sub;L1_escanhos;L2_tipo;L2_nombre;L2_area_km2;L2_pct_area_pais;L2_pct_area_superior;L2_rank_area_pais;L2_rank_area_superior;L2_pob;L2_pct_pob_pais;L2_pct_pob_superior;L2_rank_pob_pais;L2_rank_pob_superior;L2_num_subdivisiones_hijas;L2_capitales_nombres;L2_capitales_pob;L2_capitales_pct_pob_sub;L2_ciudad_mas_poblada_nombre;L2_ciudad_mas_poblada_pob;L2_ciudad_mas_poblada_pct_pob_sub;L2_escanhos;L3_tipo;L3_nombre;L3_area_km2;L3_pct_area_pais;L3_pct_area_superior;L3_rank_area_pais;L3_rank_area_superior;L3_pob;L3_pct_pob_pais;L3_pct_pob_superior;L3_rank_pob_pais;L3_rank_pob_superior;L3_num_subdivisiones_hijas;L3_capitales_nombres;L3_capitales_pob;L3_capitales_pct_pob_sub;L3_ciudad_mas_poblada_nombre;L3_ciudad_mas_poblada_pob;L3_ciudad_mas_poblada_pct_pob_sub;L3_escanhos
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia Insular;Baleares;4992.00;0.14;0.84;109;55;1231768;1.13;2.16;28;14;67;Palma;438234;35.58;Palma;438234;35.58;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia Metropolitana;Barcelona;634.69;0.02;0.11;118;59;3398219;3.11;5.95;3;2;36;Barcelona;1686208;49.62;Barcelona;1686208;49.62;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Beja;13850.70;0.38;2.34;42;13;217898;0.20;0.38;100;51;18;Beja;33954;15.58;Beja;33954;15.58;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Burgos;14020.41;0.38;2.37;41;12;357588;0.33;0.63;82;42;371;Burgos;176551;49.37;Burgos;176551;49.37;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Cáceres;19868.00;0.54;3.35;26;2;388652;0.36;0.68;79;41;223;Cáceres;96448;24.82;Cáceres;96448;24.82;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Cádiz;8091.00;0.22;1.37;76;33;1296926;1.19;2.27;26;13;46;Cádiz;111180;8.57;Jerez de la Frontera;214844;16.57;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Castellón;6632.00;0.18;1.12;96;46;615188;0.56;1.08;58;29;135;Castelló de la Plana;179861;29.24;Castelló de la Plana;179861;29.24;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Castelo Branco;7423.90;0.20;1.25;84;39;191470;0.18;0.34;105;53;13;Castelo Branco;53342;27.86;Castelo Branco;53342;27.86;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Coímbra;7679.50;0.21;1.30;81;38;1195762;1.09;2.10;29;15;38;Coimbra;146899;12.28;Coimbra;146899;12.28;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Córdoba;13771.00;0.38;2.32;43;14;774313;0.71;1.36;50;23;77;Córdoba;324902;41.96;Córdoba;324902;41.96;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Ciudad Real;19581.95;0.54;3.30;27;3;492675;0.45;0.86;66;36;101;Ciudad Real;75674;15.36;Ciudad Real;75674;15.36;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Cuenca;17141.00;0.47;2.89;31;5;199025;0.18;0.35;103;52;238;Cuenca;53643;26.95;Cuenca;53643;26.95;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Évora;12638.10;0.35;2.13;50;17;241873;0.22;0.42;95;49;28;Évora;53908;22.29;Évora;53908;22.29;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Faro;4996.10;0.14;0.84;108;54;492747;0.45;0.86;65;35;16;Faro;70347;14.28;Loulé;75764;15.38;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Gerona;5782.66;0.16;0.98;102;50;819348;0.75;1.44;47;22;219;Girona;106476;13.00;Girona;106476;13.00;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Granada;12647.00;0.35;2.13;49;16;939741;0.86;1.65;38;20;174;Granada;233532;24.85;Granada;233532;24.85;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Guadalajara;12212.00;0.33;2.06;52;19;280225;0.26;0.49;92;48;288;Guadalajara;90878;32.43;Guadalajara;90878;32.43;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Huelva;10128.00;0.28;1.71;66;28;535734;0.49;0.94;63;33;80;Huelva;143526;26.79;Huelva;143526;26.79;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Huesca;15636.00;0.43;2.64;33;6;228519;0.21;0.40;99;50;202;Huesca;54664;23.92;Huesca;54664;23.92;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Jaén;13496.00;0.37;2.28;47;15;619055;0.57;1.08;57;28;97;Jaén;111945;18.08;Jaén;111945;18.08;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;La Coruña;7950.00;0.22;1.34;80;37;1128449;1.03;1.98;30;16;93;A Coruña;249255;22.09;A Coruña;249255;22.09;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;León;15581.00;0.43;2.63;35;8;447802;0.41;0.78;71;39;211;León;122866;27.44;León;122866;27.44;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Lérida;12172.00;0.33;2.05;53;20;451707;0.41;0.79;70;38;231;Lleida;144878;32.07;Lleida;144878;32.07;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Lisboa;5274.80;0.14;0.89;105;52;3310213;3.03;5.80;4;3;30;Lisboa;575739;17.39;Lisboa;575739;17.39;7
